correct_word,typo
Albert,Ab
America,Amercia
America,Ameraca
American,Ameracan
Apennines,Apenines
Apennines,Appenines
April,Apirl
Athenian,Athenean
Athenians,Atheneans
Austrian,Austrain
Badcock's,badcock
Bechuanaland,bechuarnia_land
Bernoulli,Bernouilli
Blitzkrieg,Blitzkreig
Botswana,botuania
Brazilian,Brasillian
Britain,Britian
British,Brittish
Caesar,Ceasar
Cambridge,Cambrige
Canada,Canda
Caracas,carcas
Caribbean,Carribean
Carthaginian,Carthagian
Catalina,Cataline
Catiline,Cataline
Celsius,Celcius
Champagne,Champange
Chautauqua,Schtaka
Chautauqua,Shawtapwa
Chautauqua,Shawtachwa
Chautauqua,Shautalkwa
Chautauqua,Shataqua
Chautauqua,Shatakiwa
Chautauqua,Shatacua
Chautauqua,Shawtowa
Chautauqua,Quatauqua
Chautauqua,Chottago
Chautauqua,Chutouko
Chautauqua,Chutaciqwa
Chautauqua,Chuatuaton
Chautauqua,Chuatuaque
Chautauqua,Chuatackqua
Chautauqua,Chtacu
Chautauqua,Chouativa
Chautauqua,Sheto
Chautauqua,Chochatta
Chautauqua,Cuhtawa
Chautauqua,Shitaka
Chautauqua,chictique
Chautauqua,Showtalkwa
Chautauqua,sutalkway
Chautauqua,shtalkwa
Chautauqua,shatakwa
Chautauqua,sechectaquka
Chautauqua,chtoawa
Chautauqua,chituaquea
Chautauqua,chitiquea
Chautauqua,chitacwa
Chautauqua,Chittiqua
Chautauqua,Showtalkaw
Chautauqua,chetickway
Chautauqua,chautaucua
Chautauqua,chatauqua
Chautauqua,chatauchuia
Chautauqua,chataque
Chautauqua,chataqua
Chautauqua,chatacuia
Chautauqua,chacactur
Chautauqua,catauqua
Chautauqua,Showtucwa
Chautauqua,chautauqua
Chautauqua,Chitoqua
Chautauqua,Chitalkwa
Chautauqua,Chitaqua
Chautauqua,Chatuaca
Chautauqua,Chattakqua
Chautauqua,Chatoukouv
Chautauqua,Chatogua
Chautauqua,Chatocqua
Chautauqua,Chateau
Chautauqua,Chatauwkwa
Chautauqua,Chataukwa
Chautauqua,Chatwakwa
Chautauqua,Chataukowa
Chautauqua,Chataqua
Chautauqua,Chatalkwa
Chautauqua,Chatacque
Chautauqua,Chatacqua
Chautauqua,Chata
Chautauqua,Chaqua
Chautauqua,Chalktwa
Chautauqua,Chactuquoe
Chautauqua,Chitauqua
Chautauqua,Chauetouequa
Chautauqua,Chataque
Chautauqua,Chitalka
Chautauqua,Chitacque
Chautauqua,Chauta
Chautauqua,Chictocua
Chautauqua,Chicahwa
Chautauqua,Chetoquoi
Chautauqua,Chetdacowa
Chautauqua,Cheautauqua
Chautauqua,Chawtawque
Chautauqua,Chawtakque
Chautauqua,Chautqua
Chautauqua,Chautogqwa
Chautauqua,Chautiqua
Chautauqua,Chautauchua
Chautauqua,Chautaqua
Chautauqua,Chautakye
Chautauqua,Chicugta
Chautauqua,Chistupa
Christ,Crist
Christian,Christain
Christmas,cristmas
Christmas,Chrismas
Christmas,Christ_mas
Christmas,Christmis
Christmas,Cristmus
Cinderella,Cinderrella
Connecticut,Conneticut
Cypriot,Cyprian
Dec,des.
December,Decmber
December,Desember
Dr,Doc
Dracula's,draculla's
Dunstan's,Dunstan
Easter,Ester
Easter,ester
Eastwood,Estwood
Ellis,eles
English,ingish
English,inglish
English,Enlish
European,Eurpean
European,Eurpoean
European,Europian
Europeans,Europians
Feb,Fab
February,febuary
February,Feburary
February,feburay
February,Febuary
Flemish,Flemmish
Franciscan,Fransiscan
Franciscans,Fransiscans
French,fench
French,freach
French,Franch
French,feirne
Friday,Firday
Gael,gae
Galatians,Galations
Gandhi,Ghandi
Gauguin,gogin
Guatemala,Guatamala
Guatemalan,Guatamalan
Guinness,Guiness
Hallowe'en,hallowen
Hitler,Hitlar
I,ld
I,a
I,and
I,are
I,has
I,he
I,i
I,if
I,iy
I,is
I,we
I,it
I'd,I'de
I'd,I'ed
I'd,I'ld
I'll,Ile
I'll,Ill
I'm,I'me
I'm,I'n
I'm,im
I've,I'v
I've,Iev
Indians,Indian's
Ireland,Irland
Irish,Iresh
Israelis,Israelies
Ithaca,Ihaca
Jacques,Jaques
January,Januery
Japanese,Japanes
Joseph,Jospeh
Judaism,Juadaism
Judaism,Juadism
July,Jaly
June,Jun
Leicester,Lester
Libya,Lybia
Los_Angeles,Las_Angles
Luke's,Luks
Malcolm,Malcom
Maltese,maltesian
Mara_Liasson,liason
Massachusetts,Massachussetts
Massachusetts,Massachussets
Mayfield,Mayfeild
Mediterranean,Mediteranean
Mediterranean,Meditterranean
Michigan,Michagan
Miranda,meranda
Miss,mis
Mississippi,Missisipi
Mississippi,Missisippi
Missouri,Misouri
Monday,Munday
Mr,Mis
Mr,Mrs
Mrs,Mr's
Mrs,Mixss
Mrs,Miss
Mrs,Mrss
Muslim,Mohammedan
Muslim,Muhammadan
Muslims,Mohammedans
Nazareth,Nazereth
Nevada,nevade
New_Yorker,Newyorker
Newfoundland,Foundland
Nuremberg,Nuremburg
October,Octber
Orignal,orginal
Palestinian,Palistian
Palestinian,Palistinian
Pekinese,pikaness
Philip's,perllips
Philippine,Phillipine
Philippines,Phillippines
Philippines,Phillipines
Philippines,Philipines
Portuguese,Portugese
Presbyterian,presbyterian
Puccini,Pucini
Pyrenean,Pyrannean
RSX,rsx
Rockefeller,Rockerfeller
Rolls,rowles
Russian,russina
Russian,Russion
Samaritan,Samariton
Saturday,Satuarday
Saturday,Saterday
Saturdays,Saterdays
Scots,Scotts
Sept,Sep
September,Septmber
September,Septenber
Sheba,shebre
Sistine,Sixtin
Spanish,spainish
Spanish,Spanich
Stephen,Steffen
Sunday,Sanday
Susan,susan
Swedish,sweedish
Thames,Thems
Tim,tiem
Tuesday,Tuseday
Tuesday,Tusday
Tuesday,Teusday
Ukrainian,Ukranian
Valletta,Valetta
Victorian,vitiorian
Wednesday,Wensday
Wednesday,wendsay
Wednesday,Wedensday
Wednesday,Wdendsdy
Wednesday,wensday
